t2m,tp,yld,agr,gdp,Cluster 1,Cluster 2,Cluster 3
12.453266,0.0001299999999559,3175.1,24.5154120419235,3480355258.04122,0,0,1
7.2568793,0.0001599999999939,5403.9,1.64730021298979,197289625479.906,0,0,1
7.9067254,9.999999997489796e-05,1949.7,12.0968271694147,12736856827.9847,0,0,1
10.603078,0.0001299999999559,8021.4,1.17600527973714,236792460312.471,0,0,1
11.0027075,0.0001299999999559,2550.2,9.00146376331907,5567405605.27555,0,0,1
11.849232,6.999999999379725e-05,2459.9,10.970482362947,13245834314.5104,0,0,1
12.976103,9.999999997489796e-05,4114.8,4.96881906690488,21807856145.1037,0,0,1
19.681019,3.999999995585313e-05,931.4,3.64726468126748,9985844486.33365,0,0,1
9.231744,9.999999997489796e-05,3906.0,3.25052833080989,61828166496.0941,0,0,1
9.393181,9.999999997489796e-05,6216.0,2.151853225624,164158739097.623,0,0,1
7.1144304,9.999999997489796e-05,2114.7,3.88500958820541,5686579747.53524,0,0,1
3.6807837,6.999999999379725e-05,3498.7,2.95363597719177,126019543413.334,0,0,1
11.588866,9.999999997489796e-05,7231.5,2.0983575513075,1365639660792.16,0,0,1
9.925608,9.999999997489796e-05,6452.9,0.994789221891906,1947981991011.77,0,0,1
14.748488,6.999999999379725e-05,3868.8,5.43524818135254,130457756628.436,0,0,1
12.080457,6.999999999379725e-05,3632.7,4.93445987752074,47218405892.4258,0,0,1
9.735488,0.0001599999999939,7795.7,2.50492903890048,100207610429.909,0,0,1
13.20708,9.999999997489796e-05,4993.9,2.56361411951499,1146676894209.73,0,0,1
7.541964,0.0001299999999559,2199.0,4.4653191603977,7958852838.93395,0,0,1
8.085589,9.999999997489796e-05,2707.5,5.58605077769058,11524776866.6379,0,0,1
9.857233,0.0001599999999939,5328.8,0.596866957478124,21230182989.3036,0,0,1
11.005958,3.999999995585313e-05,2032.8,25.409321530594,1288429391.79951,0,0,1
10.823606,9.999999997489796e-05,7905.5,2.29863696801156,417479337444.707,0,0,1
11.292365,3.999999995585313e-05,2565.0,10.0962814603895,3772857145.0248,0,0,1
2.8573484,0.0001599999999939,3930.9,1.82301531961815,171247131268.604,0,0,1
9.586449,0.0001299999999559,2534.8,3.12672432106006,172219461126.067,0,0,1
15.017074,0.0001299999999559,2793.5,3.10974828415915,118605192877.388,0,0,1
10.491523,9.999999997489796e-05,1927.8,10.8539180518615,37253259016.9976,0,0,1
9.283889,9.999999997489796e-05,2709.9,1.71030559393339,29242558796.5507,0,0,1
10.696316,0.0001599999999939,4803.1,3.08556322926251,20289627636.6767,0,0,1
14.000789,6.999999999379725e-05,3603.3,3.74530563354845,598363313494.903,0,0,1
4.285623,9.999999997489796e-05,4560.3,1.94285989541354,262835454366.855,0,0,1
5.7862825,0.0001999999999497,6402.2,1.0538895108627,279216033870.204,0,0,1
9.3822,9.999999997489796e-05,1950.8,13.951785065407,32375280320.5765,0,0,1
9.388633,0.0001299999999559,7164.8,0.81978453298073,1666126494174.61,0,0,1
12.435483,0.0001299999999559,3030.8,22.7161641958722,3922100793.5403,0,0,1
6.476984,0.0001599999999939,5856.2,1.67070339573168,197508773215.323,0,0,1
7.1604733,9.999999997489796e-05,2000.7,10.3504297393613,12354820143.8849,0,0,1
10.19802,0.0001299999999559,8218.1,1.10935029767163,236746141604.37,0,0,1
10.111131,0.0001599999999939,3201.7,9.12057740305993,5800774707.17423,0,0,1
11.595935,9.999999997489796e-05,2898.5,10.6032532421664,14183497963.1071,0,0,1
12.101377,0.0001299999999559,4840.3,4.96367720581475,23259567777.5327,0,0,1
20.291681,3.999999995585313e-05,2275.9,3.86079712944619,10397897085.6102,0,0,1
7.9517736,9.999999997489796e-05,4508.6,3.20352708630753,67808032979.5429,0,0,1
8.444039,9.999999997489796e-05,6126.6,2.33950941505079,164791442543.375,0,0,1
6.164475,9.999999997489796e-05,2037.0,3.49396864407665,6254649538.98487,0,0,1
2.1726098,6.999999999379725e-05,3164.4,2.76433332411428,129533107311.811,0,0,1
11.234051,9.999999997489796e-05,6729.2,2.10700819139254,1377657339291.34,0,0,1
9.096673,0.0001299999999559,7055.2,1.08343229583805,1945790973803.15,0,0,1
15.043116,6.999999999379725e-05,3847.6,5.20270209625701,136309295225.34,0,0,1
10.861393,0.0001299999999559,4884.9,4.91438887698312,53749989092.0197,0,0,1
9.644688,9.999999997489796e-05,7580.9,1.99385983232223,109346669229.695,0,0,1
13.025622,9.999999997489796e-05,4821.4,2.48963145584114,1168023426056.38,0,0,1
6.6000986,0.0001299999999559,2091.5,4.41345812396173,8362398701.58943,0,0,1
7.1360407,9.999999997489796e-05,2505.0,4.87429863580582,12237388001.7264,0,0,1
9.37207,9.999999997489796e-05,5142.3,0.560287361469729,21387533703.2327,0,0,1
10.111115,6.999999999379725e-05,2487.1,22.4200406780956,1480673594.05602,0,0,1
10.333961,9.999999997489796e-05,7280.5,2.22461562086905,431586852369.686,0,0,1
11.122447,9.999999997489796e-05,2287.8,9.74511971409667,3709637829.94866,0,0,1
1.6302754,0.0001299999999559,3709.5,1.58869172655478,173972218824.027,0,0,1
8.323194,0.0001299999999559,3056.4,3.25341501737577,190905493539.168,0,0,1
15.097138,0.0001299999999559,2645.3,2.96074957358316,121604107164.997,0,0,1
9.87383,9.999999997489796e-05,3029.4,13.1496003966219,40394824679.1232,0,0,1
8.227637,9.999999997489796e-05,3889.7,2.12021767859932,30778781606.9575,0,0,1
10.13591,0.0001599999999939,4734.5,2.78807125237532,20876309970.385,0,0,1
14.09726,6.999999999379725e-05,2804.7,3.67764014761916,627830029412.205,0,0,1
2.9575493,9.999999997489796e-05,4583.3,1.94493737546086,242395852494.409,0,0,1
5.3974395,0.0002199999999561,6011.9,0.920924113572322,286582672434.226,0,0,1
8.996085,9.999999997489796e-05,2729.5,13.9760861844442,39309580983.2282,0,0,1
9.092559,9.999999997489796e-05,6291.1,0.762055769420504,1648658413703.76,0,0,1
12.485696,0.00014584312,3291.9,22.0251140879353,4348068242.19512,0,0,1
7.4245934,0.00015316959,5831.0,1.56277441149196,214394866675.24,0,0,1
7.7164474,7.0719114e-05,2477.8,10.1284322239778,14594249022.8922,0,0,1
10.697541,0.00011736609,8500.9,1.03313414275776,258383599375.177,0,0,1
10.786108,0.00015318843,3828.2,8.87350362815024,6728771318.57555,0,0,1
11.550707,0.00010012322,3156.3,9.71056962763958,16402846413.0958,0,0,1
12.573608,0.00014057955,5316.2,4.84213912847985,27085262278.8634,0,0,1
19.957575,4.046074e-05,2394.4,3.78825964758719,11420227884.6154,0,0,1
8.827741,0.00010940367,4324.0,2.65958672335973,82196001050.7474,0,0,1
